address_neighborhood,pricingInfos_price,predict_price,variacao
Chácara Sto Antônio,256549.5,0.0,-1.0
Chácara São João,448000.0,251588.43159517704,-0.4384186794750512
Chácara Tatuapé,517999.5,0.0,-1.0
Cidade A E Carvalho,169809.0,0.0,-1.0
Cidade Ademar,283500.0,267632.38848101674,-0.055970411001704634
Cidade Antonio Estevão de Carvalho,311500.0,0.0,-1.0
Cidade Antônio Estevão de Carvalho,220500.0,202563.63278724873,-0.08134406899206925
Cidade Centenário,318500.0,207660.65557408967,-0.3480042211174579
Cidade Continental,259349.0,0.0,-1.0
Cidade D Abril,196000.0,0.0,-1.0
Cidade D'Abril,314999.5,0.0,-1.0
Cidade Domitila,376097.0,0.0,-1.0
Cidade Dutra,456400.0,0.0,-1.0
Cidade Jardim,2992850.0,1925234.48719007,-0.35672202509645656
Cidade Líder,220500.0,188570.94620662672,-0.144802965049312
Cidade Mae do Ceu,493499.0,0.0,-1.0
Cidade Monções,679000.0,578349.53377814,-0.1482333817700442
Cidade Mãe do Céu,630000.0,828960.7673150204,0.31581074176987367
Cidade Nitro Operária,392000.0,0.0,-1.0
Cidade Nitro Química,244299.0,0.0,-1.0
Cidade Nova Heliópolis,340550.0,303491.3287615608,-0.10882005942868656
Cidade Nova São Miguel,306250.0,0.0,-1.0
Cidade Patriarca,301000.0,238196.54040063152,-0.20864936743976237
Cidade Satelite Santa Barbara,3195500.0,172268.55829255347,-0.9460902649686893
Cidade Satélite Santa Bárbara,140350.0,174359.74476465493,0.2423209459540785
Cidade São Francisco,489999.0,434965.2930397686,-0.112313916886017
Cidade São Mateus,208250.0,0.0,-1.0
Cidade São Miguel,301000.0,0.0,-1.0
Cidade Tiradentes,89600.0,190706.19792036584,1.1284173875040833
Cidade Universitária,352450.0,0.0,-1.0
Cidade Vargas,553000.0,359997.19932556956,-0.34901048946551616
Cidade dos Bandeirantes,335300.0,234262.852443836,-0.301333574578479
City America,1715000.0,326166.2931290711,-0.809815572519492
City América,1035299.0,322934.4761429236,-0.6880761247302243
City Jaragua,190918.0,0.0,-1.0
City Pinheirinho,560000.0,0.0,-1.0
City Recanto Anastácio,910000.0,0.0,-1.0
Cj Res Sto Antônio,222600.0,276361.3000318933,0.24151527417741825
Cohab José Bonifaci,122499.0,0.0,-1.0
Cohab Juscelino,103600.0,0.0,-1.0
Cohab Taipas,124249.0,0.0,-1.0
Colonia - Zona Leste,107030.0,164576.04951191414,0.5376628002608066
Colônia,178500.0,0.0,-1.0
Colônia (Zona Leste),154000.0,182722.41361285414,0.1865091793042477
Conjunto City Jaragua,236600.0,215718.42681040932,-0.08825686048009584
Conjunto City Jaraguá,98700.0,0.0,-1.0
Conjunto Habitacional Barreira Grande,150500.0,197464.23036587314,0.3120546868164329
Conjunto Habitacional Brigadeiro Eduardo Gomes,113749.5,0.0,-1.0
Conjunto Habitacional Castro Alves,108849.5,0.0,-1.0
Conjunto Habitacional Fazenda do Carmo,98000.0,0.0,-1.0
Conjunto Habitacional Instituto Adventista,133000.0,164720.78725409257,0.23850215980520728
Conjunto Habitacional Inácio Monteiro,94500.0,0.0,-1.0
Conjunto Habitacional Jova Rural,115499.0,0.0,-1.0
Conjunto Habitacional Juscelino Kubitschek,86800.0,178056.16247717701,1.051338277386832
Conjunto Habitacional Marechal Mascarenhas de Morais,441000.0,0.0,-1.0
Conjunto Habitacional Padre José de Anchieta,156800.0,179347.7508560271,0.1437994314797646
Conjunto Habitacional Padre Manoel da Nobrega,150500.0,0.0,-1.0
Conjunto Habitacional Padre Manoel da Nóbrega,129499.0,188201.54553455772,0.45330501034415493
Conjunto Habitacional Padre Manoel de Paiva,138250.0,186626.502870889,0.3499204547623074
Conjunto Habitacional Santa Etelvina II,117249.0,0.0,-1.0
Conjunto Habitacional Teotonio Vilela,136500.0,182578.9652958198,0.3375748373320131
Conjunto Habitacional Turistica,287000.0,0.0,-1.0
Conjunto Habitacional Turística,276500.0,504076.0950809968,0.8230600183761188
Conjunto Habitacional Vila Nova Cachoeirinha,360500.0,0.0,-1.0
Conjunto Promorar Raposo Tavares,210148.5,290503.9467445754,0.3823745910371732
Conjunto Promorar Sapopemba,200200.0,0.0,-1.0
Conjunto Residencial Bandeirantes,206500.0,0.0,-1.0
Conjunto Residencial Butanta,423500.0,0.0,-1.0
Conjunto Residencial Butantã,434000.0,0.0,-1.0
Conjunto Residencial Elisio Teixeira Leite,129499.0,212596.1933110756,0.6416821234996068
Conjunto Residencial Elísio Teixeira Leite,140000.0,0.0,-1.0
Conjunto Residencial Ingai,175000.0,0.0,-1.0
Conjunto Residencial Jardim Canaa,1750000.0,0.0,-1.0
Conjunto Residencial Jardim Canaã,350000.0,0.0,-1.0
Conjunto Residencial Jose Bonifacio,122499.0,208394.2720370329,0.7011916181930702
Conjunto Residencial José Bonifácio,118999.0,181564.16968970362,0.525762146654204
Conjunto Residencial Novo Pacaembu,465500.0,0.0,-1.0
Conjunto Residencial Prestes Maia,104560.0,0.0,-1.0
Conjunto Residencial Salvador Tolezani,350000.0,0.0,-1.0
Conjunto Residencial Santa Terezinha,486499.0,959317.8625467125,0.971880440754683
Conjunto Residencial Sitio Oratorio,129499.0,0.0,-1.0
Conjunto Residencial Sitio Oratório,145250.0,175770.70370118108,0.21012532668627237
Conjunto Residencial Vista Verde,277900.0,229984.4677154295,-0.17242005140183703
Consolação,532000.0,617936.6626441849,0.16153508015824225
Coronel Sezefredo Fagundes,304500.0,0.0,-1.0
Cupecê,230999.0,0.0,-1.0
Cursino,521499.0,420619.52959008794,-0.1934413496668489
Educandário,148708.0,0.0,-1.0
Engenheiro Goulart,244999.0,207945.93495310147,-0.1512376174878205
Erm Matarazzo,182000.0,224206.72266229804,0.23190506957306622
Ermelino Matarazzo,237649.0,231511.99018173383,-0.02582384027816731
Estância Jaraguá,240100.0,0.0,-1.0
Faria Lima,3665788.0,0.0,-1.0
Fazenda Aricanduva,168000.0,188570.94620662672,0.12244610837277814
Fazenda Caguaçu,4480000.0,0.0,-1.0
Fazenda Morumbi,346500.0,241361.89872521552,-0.3034288637078917
Fazenda da Juta,101500.0,0.0,-1.0
Ferreira,462699.0,332337.93263730017,-0.2817405426912525
Freguesia do O,294000.0,0.0,-1.0
Freguesia do Ó,315000.0,321992.2549400958,0.02219763473046288
Frguesia do o,210000.0,0.0,-1.0
Furnas,186900.0,245907.49082991134,0.31571691187753537
Gamelinha,107100.0,0.0,-1.0
Grajaú,218050.0,0.0,-1.0
Granja Julieta,822500.0,579734.6246885788,-0.2951554715032477
Guaianases,122499.0,0.0,-1.0
Guaianazes,140000.0,182699.59629997,0.30499711642835714
Guaiauna,234499.0,0.0,-1.0
Guaiaúna,220500.0,526255.1292037605,1.3866445768878028
Guapira,210000.0,309982.42080361303,0.4761067657314906
Guarapiranga,182000.0,187177.97103177223,0.028450390284462834
Higianopolis,875000.0,738474.664329814,-0.15602895505164116
Higienópolis,1470000.0,952417.7921583151,-0.3520967400283571
Horto Florestal,630000.0,255964.38288913996,-0.5937073287473968
Horto do Ipê,154000.0,0.0,-1.0
Ibirapuera,411249.5,487765.3074913862,0.1860569009600892
Iguatemi,896000.0,0.0,-1.0
Imirim,336000.0,266550.4689227913,-0.20669503296788305
Indianópolis,1050000.0,690643.3738376948,-0.3422444058688622
Ingai,203000.0,0.0,-1.0
Instituto de Previdencia,475999.0,0.0,-1.0
Instituto de Previdência,652750.0,0.0,-1.0
Interlagos,297150.0,312064.6967653997,0.050192484487294964
Ipiranga,420000.0,416369.1951216315,-0.008644773519924986
Itaberaba,344750.0,256199.27813726588,-0.25685488575122295
Itaim,1182999.5,1398602.445115601,0.1822510872706209
Itaim Bibi,970199.0,782830.3324358048,-0.19312395453324027
Itaim Paulista,273000.0,240486.85961353427,-0.11909575233137626
Itaquera,182000.0,185989.9464805291,0.021922782860049894
Jabaquara,374500.0,335660.2092779153,-0.10371105666778291
Jaguare,294000.0,343800.09620660276,0.1693880823353835
Jaguará,385000.0,0.0,-1.0
Jaguaré,316750.0,340935.01383191993,0.07635363482847657
Jaragua,196000.0,205168.87240738806,0.04677996126218398
Jaraguá,224000.0,214361.03590961578,-0.04303108968921532
